agency_name,female,male,non_binary,city,country
APM Model Management,61,2,2,"New York, NY",USA
CAA Fashion,41,35,1,"New York, NY",USA
CLICK,10,34,0,"New York, NY",USA
Crawford,27,70,1,"New York, NY",USA
DNA Models,125,105,2,"New York, NY",USA
DT,35,67,1,"Los Angeles, CA",USA
Elite Los Angeles,103,0,0,"Los Angeles, CA",USA
Elite New York,347,4,4,"New York, NY",USA
Fenton,27,5,0,"New York, NY",USA
Ford Models New York,215,106,5,"New York, NY",USA
Freedom Los Angeles,100,0,2,"Los Angeles, CA",USA
Fusion Models,79,27,3,"Brooklyn, NY",USA
HEROES Model Management ,130,65,3,"New York, NY",USA
Iconicfocus,23,1,0,"New York, NY",USA
IDENTITY,54,2,0,"New York, NY",USA
IMG Los Angeles,133,98,0,"Los Angeles, CA",USA
IMG New York,228,194,3,"New York, NY",USA
JAG,36,4,6,"New York, NY",USA
LA Models,55,64,2,"Los Angeles, CA",USA
Major,24,33,0,"New York, NY",USA
Marilyn,83,86,3,"New York, NY",USA
Muse,290,29,1,"New York, NY",USA
New Icon,43,11,0,"New York, NY",USA
NEXT,56,46,0,"Miami, FL",USA
NEXT Los Angeles,134,96,1,"Los Angeles, CA",USA
NEXT New York,184,143,1,"New York, NY",USA
No Smoking,3,1,0,"New York, NY",USA
Nomad Management Los Angeles,77,28,0,"Los Angeles, CA",USA
Nomad Management Miami,49,24,0,"Miami,FL",USA
NY Models,123,66,1,"New York, NY",USA
ONE Management Chicago,28,6,0,"Chicago, IL",USA
ONE Management Los Angeles,48,26,1,"Los Angeles, CA",USA
ONE Management New York,109,79,2,"New York, NY",USA
Photogenics,131,40,4,"Los Angeles, CA",USA
Q,16,27,0,"New York, NY",USA
Society,195,138,4,"New York, NY",USA
Soul Artist Management,25,253,0,"New York, NY",USA
STATE Los Angeles,48,42,3,"Los Angeles, CA",USA
STATE New York,74,48,4,"New York, NY",USA
Storm,73,54,5,"Los Angeles, CA",USA
Supreme,126,0,4,"New York, NY",USA
The Industry,97,0,2,"New York, NY",USA
The Lions,83,2,1,"New York, NY",USA
Two Management Los Angeles,106,275,0,"Los Angeles, CA",USA
Two Management New York,10,85,0,"New York, NY",USA
VISION,59,72,5,"Los Angeles, CA",USA
VNY,20,135,2,"New York, NY",USA
Wilhelmina,97,15,2,"New York, NY",USA
WME,62,57,2,"Los Angeles, CA",USA
WOMEN,107,0,1,"New York, NY",USA
Women / 360,82,0,0,"New York, NY",USA
