name,skin_tone,nationality,gender,current_agency,agency_city,agency_country,hair,eyes,number_of_campaigns_in_last_three_years,number_of_covers
Ylang Messenguiral,,Madagascar/France,F,Supreme Management,"New York, NY",USA,brown,hazel,4,0
Ying Ouyang,,China,F,Elite New York City,"New York, NY",USA,black,brown,10,0
Yilan Hua,,China,F,Elite New York City,"New York, NY",USA,black,brown,20,0
Wali Deutsch,,United States,NB,DNA Models,"New York, NY",USA,black,brown,7,1
Vivienne Rohner,,Switzerland,F,HEROES Model Management,"New York, NY",USA,brown,green,20,5
Victoria Fawole,,Nigeria,F,The Industry,"New York, NY",USA,brown,brown,16,0
Ugbad Abdi,,United States/Somalia,F,Society Management,"New York, NY",USA,black,brown,1,3
Tess Breeden,,United States,F,DNA Models,"New York, NY",USA,blonde,blue,10,1
Tanya Churbanova,,Russia,F,Elite New York City,"New York, NY",USA,black,blue,10,4
Sun Mizrahi,,Israel,F,HEROES Model Management,"New York, NY",USA,brown,brown,8,2
Sihana Shalaj,,Kosovo,F,IMG New York,"New York, NY",USA,brown,brown,5,2
Sascha Rajasalu,,Sweden/Estonia,F,NEXT New York,"New York, NY",USA,blonde,blue,5,4
Sara Caballero,,Chile/Spain,F,Society Management,"New York, NY",USA,brown,brown,8,3
Rosalieke Fuchs,,Netherlands,F,Society Management,"New York, NY",USA,blonde,blue,10,3
Rolf,,Spain,F,IMG New York,"New York, NY",USA,brown,green,6,1
Rejoice Chuol,,South Sudan,F,Muse Management,"New York, NY",USA,black,brown,7,2
Rebecca Leigh Longendyke,,United States,F,Elite New York City,"New York, NY",USA,blonde,blue,21,4
Quannah Chasinghorse,,United States,F,Society Management,"New York, NY",USA,brown,brown,4,2
Penelope Ternes,,Germany,F,WOMEN Management,"New York, NY",USA,brown,green,16,6
Nyakong Chan,,South Sudan,F,The Management NYC,"New York, NY",USA,black,brown,9,1
Nyaduola Gabriel,,South Sudan,F,The Industry,"New York, NY",USA,black,brown,10,2
Mona Tougaard,,Denmark,F,Society Management,"New York, NY",USA,brown,brown,45,17
Mila van Eeten,,Netherlands,F,DNA Models,"New York, NY",USA,black,blue,10,6
Mika Schneider,,Japan/France,F,Society Management,"New York, NY",USA,black,brown,10,3
Maty Fall,,Senegal/Italy,F,IMG New York,"New York, NY",USA,brown,brown,15,8
Mathilda Gvarliani,,Georgia,F,NEXT New York,"New York, NY",USA,brown,brown,22,4
Mary Ukech,,South Sudan,F,IMG New York,"New York, NY",USA,black,brown,5,1
