name,number_of_runway_shows,skin_tone,nationality,gender,current_agency,agency_city,agency_country,hair ,eyes ,number_of_campaigns_in_last_three_years,number_of_covers
Abas Abdirazaq,52,,Netherlands/Somalia,M,Soul Artist Management,"New York, NY",USA,black,brown,9,0
Adamu Bulus,74,,Nigeria,M,Society Management,"New York, NY",USA,black,brown,6,3
Akbar Shamji,40,,United Kingdom,M,NEXT New York,"New York, NY",USA,blonde,brown,10,1
América González,262,,Venezuela,NB,Supreme Management,"New York, NY",USA,brown,green,7,8
Awwal Adeoti,61,,Nigeria,M,Society Management,"New York, NY",USA,black,brown,8,1
Babacar N'doye,94,,United Kingdom,M,Society Management,"New York, NY",USA,black,brown,9,2
Cheikh Dia,49,,Senegal/Italy,M,Soul Artist Management,"New York, NY",USA,black,brown,15,0
Cherif Douamba,93,,Côte d'Ivoire,M,IMG New York,"New York, NY",USA,black,brown,9,3
Cosme Voisin,33,,France,M,Soul Artist Management,"New York, NY",USA,blonde,blue,1,5
Dara Gueye,114,,Senegal,M,DNA Models,"New York, NY",USA,black,brown,21,3
Douta Sidibe,81,,France/Senegal,M,Soul Artist Management,"New York, NY",USA,black,brown,10,2
Fernando Lindez,79,,Spain,M,Wilhelmina New York,"New York, NY",USA,brown,hazel,5,12
Gaye Serigne,57,,Senegal/Italy,M,Marilyn Agency,"New York, NY",USA,black,brown,3,2
Gendai Funato,45,,Japan,M,Soul Artist Management,"New York, NY",USA,black,black,6,1
Goy Michael,64,,South Sudan,M,Fusion Models,"Brooklyn, NY",USA,black,brown,6,7
Grace Valentine,109,,United States,NB,HEROES Model Management,"New York, NY",USA,brown,hazel,10,5
Habib Masovic,39,,Bosnia-Herzegovina,M,Soul Artist Management,"New York, NY",USA,brown,green,8,2
Hedi Ben Tekaya,40,,Tunisia/France,M,IMG New York,"New York, NY",USA,brown,brown,16,3
Hoyong Kim,43,,South Korea,M,DNA Models,"New York, NY",USA,black,brown,6,2
Ilias Loopmans,80,,Belgium,M,RAPTURE Management (Antwerp),Antwerp,Belgium,blonde,blue,7,2
Indiana Van't Slot,63,,Netherlands,M,RAPTURE Management (Antwerp),Antwerp,Belgium,brown,blue,9,0
Joshua Thompson,60,,United Kingdom,M,DNA Models,"New York, NY",USA,brown,brown,2,3
Kai-Isaiah Jamal,41,,United Kingdom,NB,Society Management,"New York, NY",USA,brown,brown,7,8
Malik Anderson,58,,United States/Guyana,M,LUMIEN Creative,"New York, NY",USA,brown,brown,10,0
Mamuor Majeng,176,,South Sudan,M,Society Management,"New York, NY",USA,black,hazel,17,13
Mathieu Simoneau,135,,United States/Canada,M,VNY Models,"New York, NY",USA,brown,brown,19,7
Matthew Seymour,109,,South Africa,M,DNA Models,"New York, NY",USA,black,brown,10,0
Mohamed Hassan,40,,Netherlands/Egypt,M,Society Management,"New York, NY",USA,auburn,brown,6,4
Momo Ndiaye,62,,Senegal/Italy,M,Fusion Models,"Brooklyn, NY",USA,black,black,5,2
Nonso Ojukwu,79,,Nigeria,M,Society Management,"New York, NY",USA,black,brown,11,1
Ottawa Kwami,175,,Ghana,M,Premium Models (Paris),Paris,France,black,brown,11,3
Rubuen Bilan-Carroll,96,,United Kingdom,M,Soul Artist Management,"New York, NY",USA,brown,brown,5,2
Taemin Park,163,,South Korea,M,Society Management,"New York, NY",USA,black,black,15,0
Takfarines Bengana,66,,Algeria,M,VNY Models,"New York, NY",USA,brown,brown,12,2
Thatcher Thornton,61,,United States,M,HEROES Model Management,"New York, NY",USA,blonde,blue,7,2
Tom Rey,14,,France,M,Success Models (Paris),Paris,France,blonde,blue,3,1
Valentin Caron,23,,France,M,Success Models (Paris),Paris,France,blonde,blue,5,3
Valentin Humbroich,13,,Germany,M,Soul Artist Management,"New York, NY",USA,blonde,blue,19,6
Vasko Luyckx,75,,Belgium,M,RAPTURE Management (Antwerp),Antwerp,Belgium,brown,blue,9,0
Wali Deutsch,115,,United States,NB,DNA Models,"New York, NY",USA,black,brown,7,1
Walid Fiher,64,,Morocco/Italy,M,Soul Artist Management,"New York, NY",USA,black,brown,11,1
Yoesry Detre,83,,Belgium/Morocco,M,HEROES Model Management,"New York, NY",USA,black,brown,13,1
