name,skin_tone,award,num_achievements,nationality,gender,number_of_runway_shows,current_agency_affiliation,year,choice,hair_color,eye_color
Walid Fiher,,BS,3,Morocco/Italy,M,63,Soul Artist Management,2023,Industry,black,brown
Valentin Caron,,BS,3,France,M,23,Success Models (Paris),2024,Industry,blonde,blue
Valentin Caron,,BS,3,France,M,23,Success Models (Paris),2024,Readers,blonde,blue
Trevor Signorino,,BS,3,United States,M,17,IMG New York,2016,Readers,brown,hazel
Sora Choi,,MOTY,4,South Korea,F,537,The Lions,2020,Readers,black,brown
Sofia Steinberg,,MOTY,3,Russia,NB,219,The Lions,2021,Readers,black,green
Sean O'Pry,,MOTY,4,United States,M,50,VNY Models,2014,Readers,brown,blue
Sang Woo Kim,,BS,5,United Kingdom/South Korea,M,78,LUMIEN Creative,2014,Readers,black,brown
Salomon Diaz,,BS,4,Colombia,M,29,Society Management,2018,Industry,black,brown
Quannah Chasinghorse,,BS,3,United States,F,38,Society Management,2021,Industry,brown,brown
Quannah Chasinghorse,,BS,3,United States,F,38,Society Management,2021,Readers,brown,brown
Presley Gerber,,BS,3,United States,M,19,DNA Models,2017,Readers,blonde,hazel
Paul Hameline,,MOTY,4,France,M,95,The Lions,2017,Industry,brown,blue
Paloma Elsesser,,MOTY,5,United States/United Kingdom,F,115,IMG New York,2020,Industry,brown,brown
Ottawa Kwami,,BS,3,Ghana,M,175,Premium Models (Paris),2020,Industry,black,brown
Naomi Campbell,,MOTY,4,United Kingdom/Jamaica,F,202,Supreme Management,2019,Readers,black,hazel
Mona Tougaard,,BS,4,Denmark,F,275,Society Management,2019,Industry,brown,brown
Mila van Eeten,,BS,3,Netherlands,F,152,DNA Models,2022,Industry,black,blue
Mika Schneider,,BS,3,Japan/France,F,293,Society Management,2020,Readers,black,brown
Meghan Roche,,BS,3,United States,F,95,DNA Models,2019,Readers,brown,blue
Maty Drazek,,BS,3,Czech Republic,NB,13,Elite New York City,2022,Industry,blonde,blue
Mathilda Gvarliani,,BS,3,Georgia,F,70,NEXT New York,2022,Readers,brown,brown
Mathieu Simoneau,,BS,3,United States/Canada,M,134,VNY Models,2022,Readers,brown,brown 
Mathieu Simoneau,,MOTY,3,United States/Canada,M,134,VNY Models,2023,Readers,brown,brown 
Lucky Blue Smith,,MOTY,6,United States,M,61,IMG New York,2015,Industry,blonde,blue
Lucky Blue Smith,,MOTY,6,United States,M,61,IMG New York,2015,Readers,blonde,blue
Lineisy Montero,,BS,4,Dominican Republic,F,518,NEXT New York,2015,Industry,black,brown
Liam Kelly,,BS,4,United States,M,54,Soul Artist Management,2019,Readers,brown,blue
Leon Dame,,BS,4,Germany,M,264,DNA Models,2019,Industry,blonde,brown
Leon Dame,,MOTY,4,Germany,M,264,DNA Models,2024,Industry,blonde,brown
Kristen McMenamy,,MOTY,3,United States,F,73,The Lions,2021,Industry,white,blue
